symbol,ex_date,amount_per_unit,distribution_type,notes
BIRET,2021-08-17,6,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2021-11-16,6,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2022-02-18,5,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2022-05-25,5.1,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2022-08-11,5.1,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2022-11-15,5.1,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2023-02-15,5,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2023-05-26,5,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2023-08-23,3.85,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2023-11-13,4.4,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2024-02-20,4.75,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2024-05-24,4.75,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2024-08-14,4.5,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2024-11-08,4.6,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2025-02-04,4.9,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2025-05-08,5.25,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2025-08-06,5.25,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2025-11-07,5.25,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2026-02-03,5.4,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2026-05-14,5.5,dividend,Yahoo Finance chart dividend event (BIRET.NS)
BIRET,2026-08-13,5.6,dividend,Yahoo Finance chart dividend event (BIRET.NS)
EMBASSY,2019-08-20,5.4,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2019-11-18,6,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2020-02-20,6.1,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2020-05-27,6.89,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2020-08-13,5.83,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2020-11-09,5.5,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2021-02-18,4.55,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2021-05-06,5.6,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2021-08-04,5.64,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2021-11-09,5.66,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2022-02-04,5.2,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2022-05-06,5.26,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2022-07-28,5.33,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2022-10-31,5.46,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2023-02-03,5.31,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2023-05-04,5.61,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2023-08-03,5.38,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2023-11-03,5.53,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2024-02-12,5.2,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2024-05-06,5.22,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2024-08-02,5.6,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2024-10-29,5.83,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2025-01-31,5.9,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2025-05-02,5.68,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2025-08-05,5.8,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2025-11-07,6.51,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2026-02-11,6.47,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2026-04-30,6.5,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
EMBASSY,2026-08-04,6.31,dividend,Yahoo Finance chart dividend event (EMBASSY.NS)
INDIGRID,2017-08-03,0.92,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2017-11-06,2.76,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2018-01-22,2.89,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2018-04-27,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2018-08-01,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2018-10-25,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2019-01-21,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2019-04-26,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2019-08-02,2.88,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2019-10-30,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2020-01-27,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2020-06-01,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2020-08-11,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2020-11-09,3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2021-01-27,3.1,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2021-06-01,3.1,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2021-08-04,3.1875,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2021-11-01,3.1875,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2022-02-01,3.1875,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2022-05-25,3.1875,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2022-07-29,3.3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2022-11-15,3.3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2023-01-31,3.3,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2023-05-18,3.45,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2023-08-03,3.45,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2023-11-09,3.55,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2024-01-31,3.55,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2024-05-30,3.55,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2024-07-30,3.75,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2024-10-30,3.75,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2025-01-28,3.75,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2025-05-20,4.1,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2025-07-29,4,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2025-11-14,4,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2026-02-17,4,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
INDIGRID,2026-05-19,4,dividend,Yahoo Finance chart dividend event (INDIGRID.NS)
IRBINVIT,2017-08-03,1.05,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2017-11-07,3,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2018-02-01,3,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2018-05-08,3,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2018-08-03,3.05,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2018-10-30,3,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2019-01-28,3.1,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2019-05-09,3.1,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2019-08-02,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2019-10-29,2.5,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2020-02-12,2.7,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2020-06-10,1.8,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2020-08-24,1.5,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2020-11-03,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2021-01-20,2.5,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2021-05-19,2.5,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2021-08-11,1.8,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2021-10-26,2.2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2022-02-10,2.4,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2022-05-11,2.6,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2022-08-03,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2022-10-20,2.05,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2023-02-10,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2023-05-12,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2023-08-10,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2023-11-01,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2024-02-05,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2024-05-07,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2024-07-31,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2024-10-31,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2025-01-30,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2025-05-13,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2025-07-24,2,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2025-11-18,1.5,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2026-02-16,1.5,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
IRBINVIT,2026-05-20,1.6,dividend,Yahoo Finance chart dividend event (IRBINVIT.NS)
