symbol,ex_date,amount_per_unit,distribution_type,notes
EMBASSY,2019-08-20,5.4,dividend,Yahoo Finance chart dividend event
EMBASSY,2019-11-18,6.0,dividend,Yahoo Finance chart dividend event
EMBASSY,2020-02-20,6.1,dividend,Yahoo Finance chart dividend event
EMBASSY,2020-05-27,6.89,dividend,Yahoo Finance chart dividend event
EMBASSY,2020-08-13,5.83,dividend,Yahoo Finance chart dividend event
EMBASSY,2020-11-09,5.5,dividend,Yahoo Finance chart dividend event
EMBASSY,2021-02-18,4.55,dividend,Yahoo Finance chart dividend event
EMBASSY,2021-05-06,5.6,dividend,Yahoo Finance chart dividend event
EMBASSY,2021-08-04,5.64,dividend,Yahoo Finance chart dividend event
EMBASSY,2021-11-09,5.66,dividend,Yahoo Finance chart dividend event
EMBASSY,2022-02-04,5.2,dividend,Yahoo Finance chart dividend event
EMBASSY,2022-05-06,5.26,dividend,Yahoo Finance chart dividend event
EMBASSY,2022-07-28,5.33,dividend,Yahoo Finance chart dividend event
EMBASSY,2022-10-31,5.46,dividend,Yahoo Finance chart dividend event
EMBASSY,2023-02-03,5.31,dividend,Yahoo Finance chart dividend event
EMBASSY,2023-05-04,5.61,dividend,Yahoo Finance chart dividend event
EMBASSY,2023-08-03,5.38,dividend,Yahoo Finance chart dividend event
EMBASSY,2023-11-03,5.53,dividend,Yahoo Finance chart dividend event
EMBASSY,2024-02-12,5.2,dividend,Yahoo Finance chart dividend event
EMBASSY,2024-05-06,5.22,dividend,Yahoo Finance chart dividend event
EMBASSY,2024-08-02,5.6,dividend,Yahoo Finance chart dividend event
EMBASSY,2024-10-29,5.83,dividend,Yahoo Finance chart dividend event
EMBASSY,2025-01-31,5.9,dividend,Yahoo Finance chart dividend event
EMBASSY,2025-05-02,5.68,dividend,Yahoo Finance chart dividend event
EMBASSY,2025-08-05,5.8,dividend,Yahoo Finance chart dividend event
EMBASSY,2025-11-07,6.51,dividend,Yahoo Finance chart dividend event
EMBASSY,2026-02-11,6.47,dividend,Yahoo Finance chart dividend event
EMBASSY,2026-04-30,6.5,dividend,Yahoo Finance chart dividend event
EMBASSY,2026-08-04,6.31,dividend,Yahoo Finance chart dividend event
INDIGRID,2017-08-03,0.92,dividend,Yahoo Finance chart dividend event
INDIGRID,2017-11-06,2.76,dividend,Yahoo Finance chart dividend event
INDIGRID,2018-01-22,2.89,dividend,Yahoo Finance chart dividend event
INDIGRID,2018-04-27,3.0,dividend,Yahoo Finance chart dividend event
INDIGRID,2018-08-01,3.0,dividend,Yahoo Finance chart dividend event
INDIGRID,2018-10-25,3.0,dividend,Yahoo Finance chart dividend event
INDIGRID,2019-01-21,3.0,dividend,Yahoo Finance chart dividend event
INDIGRID,2019-04-26,3.0,dividend,Yahoo Finance chart dividend event
INDIGRID,2019-08-02,2.88,dividend,Yahoo Finance chart dividend event
INDIGRID,2019-10-30,3.0,dividend,Yahoo Finance chart dividend event
INDIGRID,2020-01-27,3.0,dividend,Yahoo Finance chart dividend event
